contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251212C26350000,2025-11-04 18:18:35+00:00,26350.0,346.25,132.0,146.9,0.0,0.0,,2.0,0.21199346821784973,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26400000,2025-11-11 16:22:31+00:00,26400.0,224.95,121.3,136.3,0.0,0.0,1.0,3.0,0.21083858016967771,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26425000,2025-11-05 17:30:37+00:00,26425.0,334.47,116.2,131.3,0.0,0.0,,1.0,0.21031406454086304,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26450000,2025-11-13 19:53:12+00:00,26450.0,132.03,111.3,126.4,0.0,0.0,1.0,8.0,0.20977238294601439,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26475000,2025-11-13 18:58:45+00:00,26475.0,127.95,106.5,121.7,0.0,0.0,1.0,2.0,0.20927170893669125,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26500000,2025-11-14 15:26:40+00:00,26500.0,104.9,101.9,117.1,-17.879997,-14.562631,1.0,16.0,0.20875482262611383,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26575000,2025-11-12 16:14:13+00:00,26575.0,179.21,89.1,104.4,0.0,0.0,,1.0,0.20742636758804317,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26600000,2025-11-12 16:14:13+00:00,26600.0,173.29,85.1,100.4,0.0,0.0,1.0,10.0,0.2069838671302795,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26675000,2025-11-12 18:35:43+00:00,26675.0,172.9,77.9,84.5,0.0,0.0,,2.0,0.20243965445518491,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26700000,2025-11-14 14:33:47+00:00,26700.0,58.0,74.7,80.7,-298.35,-83.72387,2.0,4.0,0.20174252550125124,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26725000,2025-11-14 14:33:47+00:00,26725.0,55.2,71.2,77.6,-0.15000153,-0.27100545,2.0,0.0,0.20147549936294556,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26775000,2025-11-14 15:03:05+00:00,26775.0,67.2,65.3,70.9,0.0,0.0,1.0,0.0,0.20033110162734985,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26800000,2025-11-11 20:58:10+00:00,26800.0,139.18,62.2,68.1,0.0,0.0,1.0,6.0,0.2000678901481628,False,REGULAR,USD,2025-12-12,^NDX,calls
