contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP260331C17200000,2025-04-07 13:30:40+00:00,17200.0,1942.3,3754.5,4413.3,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C17400000,2025-04-07 13:30:40+00:00,17400.0,1822.3,3603.0,4261.6,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C17900000,2025-08-12 15:11:07+00:00,17900.0,6455.77,6789.2,7424.6,0.0,0.0,,0,0.4496648509407043,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18000000,2025-04-21 13:55:31+00:00,18000.0,2115.26,4451.1,4511.4,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18100000,2025-08-12 15:11:07+00:00,18100.0,6274.02,6603.0,7239.1,0.0,0.0,,1,0.44396956487655637,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18200000,2025-04-08 15:09:30+00:00,18200.0,1941.1,3315.5,3374.9,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18300000,2025-10-13 15:00:35+00:00,18300.0,6804.79,7081.6,7281.6,0.0,0.0,,2,0.5162511563539505,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18400000,2025-04-21 13:55:31+00:00,18400.0,1897.93,4139.0,4199.6,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18500000,2025-10-13 15:00:35+00:00,18500.0,6621.71,6564.0,7353.1,0.0,0.0,,4,0.5825465940093995,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18600000,2025-04-21 13:55:31+00:00,18600.0,1793.76,3996.5,4054.9,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18700000,2025-05-01 14:06:47+00:00,18700.0,2880.63,3517.2,4317.2,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18800000,2025-04-14 15:29:24+00:00,18800.0,2220.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C18900000,2025-05-01 14:06:47+00:00,18900.0,2750.37,3363.8,4163.8,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C19000000,2025-04-23 15:21:08+00:00,19000.0,2091.3,3202.7,3720.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C19100000,2025-04-14 15:29:24+00:00,19100.0,2048.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C19900000,2025-05-02 19:52:02+00:00,19900.0,2305.0,3004.0,3049.1,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C20300000,2025-04-08 18:10:31+00:00,20300.0,855.6,1976.3,2037.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C20700000,2025-04-08 17:43:27+00:00,20700.0,782.0,1756.2,1809.7,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C21100000,2025-05-29 14:13:01+00:00,21100.0,2251.5,2924.4,2949.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C21200000,2025-04-25 17:15:21+00:00,21200.0,1231.85,1960.4,2002.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C21300000,2025-06-04 14:06:37+00:00,21300.0,2283.1,3000.8,3021.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C21800000,2025-04-09 13:56:22+00:00,21800.0,465.2,1220.4,1272.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22000000,2025-04-09 13:52:17+00:00,22000.0,423.9,1134.5,1185.5,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22100000,2025-10-29 14:51:35+00:00,22100.0,4730.15,3423.2,4160.0,0.0,0.0,1.0,1,0.42451599545240404,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22200000,2025-04-08 15:20:27+00:00,22200.0,451.0,1051.1,1110.4,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22300000,2025-08-01 13:30:17+00:00,22300.0,2264.76,2997.3,3480.2,0.0,0.0,1.0,4,0.3143731969738006,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22400000,2025-04-08 14:16:06+00:00,22400.0,444.3,973.9,1031.2,0.0,0.0,5.0,2,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22500000,2025-08-01 13:30:17+00:00,22500.0,2130.51,2838.6,3323.2,0.0,0.0,1.0,3,0.31024907363414755,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22600000,2025-04-08 13:40:48+00:00,22600.0,388.9,891.6,951.8,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22700000,2025-04-07 20:09:05+00:00,22700.0,403.9,863.2,912.0,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22800000,2025-04-07 20:09:05+00:00,22800.0,395.3,828.2,876.7,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C22900000,2025-04-10 15:35:06+00:00,22900.0,431.4,789.2,842.3,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23000000,2025-04-07 20:09:06+00:00,23000.0,379.3,755.7,816.2,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23100000,2025-04-07 20:09:05+00:00,23100.0,372.8,728.9,776.3,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23200000,2025-04-15 14:23:21+00:00,23200.0,416.9,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23300000,2025-04-09 14:34:08+00:00,23300.0,237.8,667.4,714.1,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23400000,2025-04-09 17:52:37+00:00,23400.0,346.0,638.1,684.3,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23500000,2025-06-27 19:48:47+00:00,23500.0,1410.65,2326.7,2343.4,0.0,0.0,2.0,9,0.247791183052063,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23600000,2025-08-21 16:12:59+00:00,23600.0,1451.5,2255.0,2270.7,0.0,0.0,1.0,4,0.2459467953681946,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23700000,2025-08-20 18:06:53+00:00,23700.0,1400.5,2184.1,2200.5,0.0,0.0,6.0,5,0.2444044810032845,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23800000,2025-08-21 17:05:29+00:00,23800.0,1337.8,2114.0,2128.8,0.0,0.0,1.0,4,0.24243993155717847,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C23900000,2025-04-10 16:22:48+00:00,23900.0,229.3,505.2,549.2,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24000000,2025-11-04 14:33:21+00:00,24000.0,2749.72,2027.9,2594.0,0.0,0.0,1.0,6,0.3429764647102356,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24100000,2025-10-24 15:44:25+00:00,24100.0,2430.13,1967.6,2524.0,0.0,0.0,1.0,9,0.3401216691923141,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24200000,2025-05-13 18:48:37+00:00,24200.0,724.0,796.1,820.8,0.0,0.0,1.0,6,0.033491263084411624,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24300000,2025-04-16 18:01:09+00:00,24300.0,177.8,757.0,791.5,0.0,0.0,2.0,9,0.052967958879470825,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24400000,2025-10-27 13:34:19+00:00,24400.0,2437.05,1763.9,2318.0,0.0,0.0,19.0,21,0.3316068732070923,True,REGULAR,USD,2026-03-31,^NDX,calls
